url,titre,entreprise,description,metier,secteur,contrat,region,ville,teletravail,experience,niveau_etude,competences,date_publication
https://www.emploi.ma/offre-emploi-maroc/prescripteur-carrelage-casablanca-9321469,Prescripteur Carrelage - Casablanca,TECTRA CASA TERTIAIRE – RECRUTEMENT,"Pour l’un de ses clients, un laboratoire accrédité ISO/IEC 17025, spécialisé dans les essais sur matériaux de construction, TECTRA recherche en urgence un Prescripteur Carrelage à Casablanca. Vous connaissez le marché du bâtiment au Maroc, vous êtes à l'aise avec les architectes et les promoteurs, et le terrain est votre environnement naturel ? Ce poste est fait pour vous. Vos missions Prospecter les bureaux d'architectes, promoteurs et chantiers sur Casablanca et sa région Présenter et faire prescrire nos collections de carrelage (sol, mur, grès cérame, grand format) selon le budget et le standing du projet Assurer le suivi des chantiers prescrits et intervenir sur les questions techniques Développer et fidéliser un portefeuille de prescripteurs (architectes, promoteurs, entreprises de construction)",Métiers du BTP,"BTP, construction",CDI,Casablanca-Mohammedia,Casablanca,,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+2 - Bac+3 - Bac+4 - Bac+5 et plus,"['Architecture', 'Construction']",2026-04-21
https://www.emploi.ma/offre-emploi-maroc/commis-douane-tanger-9336282,Commis en Douane - Tanger,TECTRA TANGER – RECRUTEMENT,"L’Humain est au cœur de notre métier ! TECTRA est aujourd’hui leader du conseil en Ressources Humaines au Maroc. Avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le Royaume, Tectra vous accompagne dans votre recherche d’emploi. Pour l’un de ses clients, dans le secteur transport international, TECTRA recherche un(e) Commis en Douane, à Tanger . Missions principales : Aider le Déclarant en douane dans toutes les opérations de douane. Collecter auprès des organismes concernés les documents à l’arrivée. Déplacements en zones « libre » et « sous-douane». Ouverture des colis pour contrôle devant l’inspecteur des douanes. Faire viser les documents douaniers auprès des services des douanes. Aider le Déclarant en douane pour l’établissement des déclarations (apprentissage progressif sur le terrain).","Transport, logistique","Transports, logistique, services postaux",CDI - Intérim,Tanger-Tétouan-Al Hoceïma,Tanger,,Expérience entre 2 ans et 5 ans,Bac+2 - Bac+3,"['Transport International', 'Transport', 'Douane']",2026-04-29
https://www.emploi.ma/offre-emploi-maroc/valet-chambre-marrakech-9339113,Valet de Chambre - Marrakech,GROUPE MCE,"Nous recherchons un Valet de chambre pour rejoindre notre établissement. Ce poste implique la gestion et le nettoyage des chambres pour assurer un séjour agréable aux clients, tout en maintenant un environnement propre et accueillant. Missions : Assurer la propreté et l'entretien des chambres selon les standards de l'hôtel. Réapprovisionner les fournitures et les équipements dans les chambres. Respecter les consignes d'hygiène et de sécurité en vigueur. Collaborer avec l'équipe pour garantir un service de qualité. Gérer les demandes spécifiques des clients avec professionnalisme.","Tourisme, hôtellerie, restauration","Hôtellerie, restauration",Intérim,Marrakech-Safi,Marrakech,,Débutant < 2 ans - Expérience entre 2 ans et 5 ans,Bac+2,"['Hôtellerie', 'Tourisme', 'Restauration']",2026-05-01
https://www.emploi.ma/offre-emploi-maroc/responsable-patrimoine-assurances-juridique-casablanca-rabat-9306586,"Responsable Patrimoine, Assurances et Juridique - Casablanca - Rabat",,"Nous sommes à la recherche d'un Responsable Patrimoine, Assurances et Juridique. Missions : Assurer la conformité juridique des actes engagés par Salam Gaz Assurer une couverture optimale de SG contre les risques inhérents à son activité",Juridique,"Automobile, matériels de transport, réparation",CDI,Casablanca-Mohammedia - Rabat-Salé-Kénitra,Casablanca - Rabat,,Expérience entre 2 ans et 5 ans,Bac+3 - Bac+4 - Bac+5 et plus,[],2026-04-11
https://www.emploi.ma/offre-emploi-maroc/coursier-tanger-9336361,Coursier - Tanger,TECTRA TANGER – RECRUTEMENT,"L’Humain est au cœur de notre métier ! TECTRA est aujourd’hui leader du conseil en Ressources Humaines au Maroc. Avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le Royaume, Tectra vous accompagne dans votre recherche d’emploi. Pour l’un de ses clients, dans le secteur de transport international, TECTRA recherche un Coursier. Missions principales ; Enlèvement de marchandises (Pick-up) : Récupérer les colis, plis ou palettes chez les clients (entreprises, entrepôts, aéroports). Vérification de la conformité : Contrôler l'état des emballages, le nombre de colis et la correspondance avec les documents d'expédition (bordereaux de livraison). Chargement et sécurisation : Charger le véhicule de manière optimisée et sécuriser la marchandise pour éviter les dommages durant le transport. Assurer la présence et la conformité des documents indispensables (lettre de voiture, CMR , facture commerciale , liste de colisage). Présenter les marchandises et les documents aux services douaniers aux frontières ou dans les zones de transit. Faire signer les bons de livraison ( Proof of Delivery - POD ) et gérer les retours de documents signés.","Transport, logistique","Transports, logistique, services postaux",CDI - Intérim,Tanger-Tétouan-Al Hoceïma,Tanger,,Expérience entre 2 ans et 5 ans,Bac+2 - Bac+3,"['Transport International', 'Chargement', 'Expédition', 'Transit', 'Transport', 'Colisage', 'Delivery']",2026-04-29
https://www.emploi.ma/offre-emploi-maroc/chef-equipe-extrudeur-meknes-9338265,Chef d'Equipe Extrudeur - Meknès,SOMACOS,"Nous recrutons un Chef d’Équipe Extrudeur. Description du poste Vous interviendrez dans une industrie en production continue en 3X8. Durant votre poste, Vous affecterez les tâches à effectuer pendant le poste au sein de l'équipe. Vous veillerez à la bonne réalisation des productions selon les besoins clients et les standards sécurité et qualité et serez vous-même œuvrant (assurer les changements de série, montage démontage des filières et des conformateurs, assurer la maintenance première niveau suivre et préparation mélange la mise en place des 5S la rédaction des rapport production contrôles qualité ...). Vous serez l'interlocuteur principal entre votre équipe et le Responsable de Production : suivi de la performance, gestion des aléas, proposition d'améliorations.","Production, maintenance, qualité","Industrie, production, fabrication, autres",CDI - CDD,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International,Meknès,,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+3 - Bac+4 - Bac+5 et plus,"['Production', 'Montage', 'Qualité', 'Extrusion', 'Maintenance', 'Démontage']",2026-05-07
https://www.emploi.ma/offre-emploi-maroc/commerciale-senior-casablanca-9318799,Commercial(e) Senior - Casablanca,CALLIOPE,"Dans le cadre de notre développement, nous recrutons un(e) Commercial(e) Senior dynamique et expérimenté(e). Rattaché(e) à la Direction commerciale, vous serez amené(e) à : Contribuer à la mise en œuvre d'une stratégie commerciale en cohérence avec les orientations de la Direction Générale. Développer l'activité commerciale et le portefeuille clients tout en atteignant les objectifs mensuels et annuels fixés. Analyser le marché publicitaire et les tendances du secteur pour anticiper les besoins des partenaires.","Commercial, vente","Marketing, communication, médias",CDI,Casablanca-Mohammedia,Casablanca,,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+5 et plus,"['Stratégie Commerciale', 'Négociation', 'Vente']",2026-04-18
https://www.emploi.ma/offre-emploi-maroc/ingenieur-industriel-methodes-ait-melloul-9275585,Ingénieur Industriel Méthodes - Ait Melloul,VETCAM,"Dans le cadre du développement de nos activités industrielles, nous recrutons un Ingénieur Industriel Méthodes chargé d’optimiser les processus de production, d’améliorer la performance industrielle et de contribuer à la réduction des coûts et des délais de fabrication. Missions principales : Rattaché à la Direction Industrielle, vos principales responsabilités seront : Analyser, concevoir et améliorer les processus de production afin d’optimiser la productivité et la qualité. Définir et mettre à jour les méthodes de fabrication et les standards de production . Élaborer et suivre les gammes opératoires et les procédures de fabrication . Mettre en place des actions d’amélioration continue visant à réduire les pertes, les rebuts et les temps non productifs. Optimiser les flux de production et l’organisation des postes de travail . Participer à la mise en place d’indicateurs de performance industrielle et assurer leur suivi. Contribuer aux projets d’ industrialisation de nouveaux produits ou procédés . Collaborer étroitement avec les équipes production, maintenance et qualité pour améliorer la performance globale de l’usine. Participer à la réduction des coûts de production et à l’optimisation des ressources. Assurer un reporting régulier à la direction sur les projets d’amélioration et les gains de performance.",Métiers du BTP,"BTP, construction",CDI,Agadir,Ait Melloul,Non,Expérience entre 2 ans et 5 ans,Bac+5 et plus,[],2026-03-21
https://www.emploi.ma/offre-emploi-maroc/community-manager-rabat-8726729,Community Manager - Rabat,,"Nous sommes à la recherche d’un Community Manager enthousiaste et créatif pour rejoindre notre équipe à Rabat. Vous serez responsable de la gestion de la présence en ligne de notre entreprise et de l’animation de nos réseaux sociaux. Ce poste est destiné à un profil moyen, ayant une première expérience dans la gestion de communautés et souhaitant développer ses compétences dans un environnement dynamique. Missions : Gérer et animer les comptes sur les réseaux sociaux (Facebook, Instagram, LinkedIn, Twitter, etc.). Créer du contenu engageant et visuel (texte, image, vidéo) adapté à chaque plateforme. Assurer la modération des commentaires et messages. Interagir avec les abonnés et maintenir une relation active avec la communauté. Analyser les performances des actions menées et proposer des ajustements (reporting mensuel). Participer à la stratégie de communication digitale et à la gestion des campagnes publicitaires. Assurer une veille constante sur les tendances et l'actualité des réseaux sociaux.","Informatique, nouvelles technologies","Equip. électriques, électroniques, optiques, précision",CDI,Rabat-Salé-Kénitra,Rabat,,Débutant < 2 ans - Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+3 - Bac+4 - Bac+5 et plus,"['Communication', 'Communication Digitale', 'Facebook Ads', 'Marketing', 'Stratégie de Communication', 'Community Management', 'Publicité']",2026-03-24
https://www.emploi.ma/offre-emploi-maroc/office-manager-assistante-direction-meknes-9327196,Office Manager / Assistant(e) de Direction - Meknès,SOMACOS,"Nous sommes à la recherche d'un(e) Office Manager / Assistant(e) de Direction. Missions principales Rattaché(e) à la Responsable Administrative et financière , vous serez en charge de : Assister la RAF dans la gestion quotidienne des activités Gérer son agenda, les réunions. Assurer le suivi administratif et organisationnel Préparer les documents, présentations et comptes rendus Gérer les communications internes et externes Suivre les dossiers clients et fournisseurs Coordonner les services internes (RH, comptabilité, logistique…) Veiller au bon fonctionnement du bureau (fournitures, prestataires, etc.)","Production, maintenance, qualité","Industrie, production, fabrication, autres",CDI,Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International,Meknès,,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+2 - Bac+3 - Bac+4 - Bac+5 et plus,"['Maintenance', 'Qualité']",2026-04-23
